StudentID,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GPA,GradeClass,AtRisk
1001,17,1,0,2,19.8337228079,7,1,2,0,0,1,0,2.9291955917,2,0
1002,18,0,0,1,15.4087560558,0,0,1,0,0,0,0,3.0429148334,1,0
1003,15,0,2,3,4.2105697688,26,0,2,0,0,0,0,0.1126022545,4,1
1004,17,1,0,3,10.028829474,14,0,3,1,0,0,0,2.0542181397,3,0
1005,17,1,0,2,4.672495273,17,1,3,0,0,0,0,1.2880611818,4,1
1006,18,0,0,1,8.1912185453,0,0,1,1,0,0,0,3.0841836145,1,0
1007,15,0,1,1,15.6016804747,10,0,3,0,1,0,0,2.7482374149,2,0
1008,15,1,1,4,15.4244963058,22,1,1,1,0,0,0,1.3601427123,4,1
1009,17,0,0,0,4.562007558,1,0,2,0,1,0,1,2.8968191895,2,0
1010,16,1,0,1,18.4444663631,0,0,3,1,0,0,0,3.5734742103,0,0
1011,17,0,0,1,11.8513636553,11,0,1,0,0,0,0,2.147171625,3,0
1012,17,0,0,1,7.5984858192,15,0,2,0,0,0,1,1.559594519,4,1
1013,17,0,1,1,10.0387116156,21,0,3,1,0,0,0,1.5200778149,4,1
1014,17,0,1,2,12.1014250688,21,0,4,0,1,0,0,1.7515809583,4,0
1015,18,1,0,1,11.1978106369,9,1,2,0,0,0,0,2.3967881171,3,0
1016,15,0,0,2,9.7281007107,17,1,0,0,1,0,0,1.3415207165,4,1
1017,18,0,3,1,10.0986560818,14,0,2,1,1,0,0,2.2321752777,3,0
1018,18,1,0,0,3.5282382086,16,1,2,0,0,0,0,1.3844041757,4,1
1019,18,0,1,3,16.2546580861,29,0,2,1,0,0,1,0.4695533234,4,1
1020,17,0,0,1,10.8352063988,9,0,2,0,0,1,0,2.3957840945,3,0
1021,16,1,0,3,2.6215972341000002,2,0,3,0,0,0,1,2.7784112999,2,0
1022,15,0,0,2,15.3231420317,25,0,1,1,0,0,0,0.3468940367,4,1
1023,16,1,1,0,18.6488795675,29,1,1,0,0,0,0,0.3125462305,4,1
1024,18,1,3,4,18.9461379847,20,0,2,1,0,0,0,1.7701318768,4,0
1025,18,1,0,1,7.3803546482,15,0,2,0,0,0,0,1.5051556220000002,4,1
1026,16,1,0,3,2.7103374712,5,0,4,0,0,1,0,2.9778519183,2,0
1027,16,0,0,1,10.3679925327,2,0,2,0,1,0,0,2.9487176719,2,0
1028,16,1,0,3,2.252184587,8,0,3,0,0,1,0,2.1452047204999998,3,0
1029,18,0,0,0,18.6797483703,10,0,3,1,0,0,0,2.854803929,2,0
1030,18,0,0,2,3.6715925471,20,0,3,1,0,0,0,1.5194417258000001,4,1
1031,15,0,2,2,5.055317199,12,1,0,0,1,0,0,1.7271203095,4,0
